Sq.Ki.,Sq.Mi.,State,County
1897.2,732.5,Arizona,Ouachita
1427,551,Arizona,Perry
1794.2,692.7,Arizona,Phillips
1561.9,603.1,Arizona,Pike
1962.7,757.8,Arizona,Poinsett
2226,859.5,Arizona,Polk
2103,812,Arizona,Pope
1673.1,646,Arizona,Prairie
1996.8,771,Arizona,Pulaski
1688.3,651.9,Arizona,Randolph
1641.8,633.9,Arizona,St. Francis
1877.1,724.8,Arizona,Saline
2315.3,893.9,Arizona,Scott
1728,667.2,Arizona,Searcy
1389.2,536.4,Arizona,Sebastian
1460.7,564,Arizona,Sevier
1565.4,604.4,Arizona,Sharp
1571.2,606.6,Arizona,Stone
2691,1039,Arizona,Union
1842.9,711.6,Arizona,Van Buren
2461.1,950.2,Arizona,Washington
2678.4,1034.1,Arizona,White
1519.3,586.6,Arizona,Woodruff
2403.2,927.9,Arizona,Yell
1910.1,737.5,California,Alameda
1913.1,738.7,California,Alpine
1534.7,592.6,California,Amador
4246.6,1639.6,California,Butte
2642.3,1020.2,California,Calaveras
2980.5,1150.8,California,Colusa
1865.5,720.3,California,Contra Costa
2610.4,1007.9,California,Del Norte
4432.8,1711.5,California,El Dorado
15444.7,5963.2,California,Fresno
3405.5,1314.9,California,Glenn
9253.5,3572.8,California,Humboldt
10813.4,4175.1,California,Imperial
26397.5,10192.1,California,Inyo
21086.8,8141.6,California,Kern
3598.8,1389.5,California,Kings
3259.4,1258.5,California,Lake
11803.9,4557.5,California,Lassen
10515.3,4060,California,Los Angeles
5538.5,2138.4,California,Madera
1346.2,519.8,California,Marin
3758.6,1451.2,California,Mariposa
9089,3509.3,California,Mendocino
4995.8,1928.9,California,Merced
10215.9,3944.4,California,Modoc
7885.2,3044.5,California,Mono
8603.8,3321.9,California,Monterey
1952.5,753.9,California,Napa
2480.3,957.7,California,Nevada
2045.3,789.7,California,Orange
3637.4,1404.4,California,Placer
6614.8,2554,California,Plumas
18669.1,7208.2,California,Riverside
2501.1,965.7,California,Sacramento
3597.9,1389.1,California,San Benito
51961.2,20062.2,California,San Bernardino
10889.6,4204.5,California,San Diego
121,46.7,California,San Francisco
3624.1,1399.3,California,San Joaquin
8558.7,3304.5,California,San Luis Obispo
1163.2,449.1,California,San Mateo
7092.6,2738.5,California,Santa Barbara
3344.3,1291.2,California,Santa Clara
1154.3,445.7,California,Santa Cruz
9804.8,3785.7,California,Shasta
2469.4,953.4,California,Sierra
16284,6287.3,California,Siskiyou
2145,828.2,California,Solano
4082.4,1576.2,California,Sonoma
3870.9,1494.6,California,Stanislaus
1561,602.7,California,Sutter
7643.2,2951,California,Tehama
8233.3,3178.9,California,Trinity
12495,4824.3,California,Tulare
5790.3,2235.6,California,Tuolumne
4781,1845.9,California,Ventura
2622.2,1012.4,California,Yolo
1632.9,630.5,California,Yuba
3087.3,1192,Colorado,Adams
1872,722.8,Colorado,Alamosa
2080.2,803.2,Colorado,Arapahoe
3494.9,1349.4,Colorado,Archuleta
6619.7,2555.9,Colorado,Baca
3921.3,1514,Colorado,Bent
1923,742.5,Colorado,Boulder
2625,1013.5,Colorado,Chaffee
4614,1781.5,Colorado,Cheyenne
1024.2,395.5,Colorado,Clear Creek
3334.2,1287.3,Colorado,Conejos
3177.9,1227,Colorado,Costilla
2043.6,789,Colorado,Crowley
1913.8,738.9,Colorado,Custer
2958.3,1142.2,Colorado,Delta
397,153.3,Colorado,Denver
2763.6,1067,Colorado,Dolores
2176,840.2,Colorado,Douglas
4371.8,1688,Colorado,Eagle
4793.8,1850.9,Colorado,Elbert
5508.1,2126.7,Colorado,El Paso
3970.6,1533,Colorado,Fremont
7634,2947.5,Colorado,Garfield
388.2,149.9,Colorado,Gilpin
4790.9,1849.8,Colorado,Grand
8389.5,3239.2,Colorado,Gunnison
2895,1117.8,Colorado,Hinsdale
4120.3,1590.9,Colorado,Huerfano
4178.5,1613.3,Colorado,Jackson
2000.1,772.2,Colorado,Jefferson
4587.2,1771.1,Colorado,Kiowa
5597,2161,Colorado,Kit Carson
976.2,376.9,Colorado,Lake
4382.5,1692.1,Colorado,La Plata
6737.7,2601.4,Colorado,Larimer
12362,4773,Colorado,Las Animas
6698.4,2586.3,Colorado,Lincoln
4762,1838.6,Colorado,Logan
8619.3,3327.9,Colorado,Mesa
2268.4,875.8,Colorado,Mineral
12283.1,4742.5,Colorado,Moffat
5275.7,2036.9,Colorado,Montezuma
5803.5,2240.7,Colorado,Montrose
3329.3,1285.5,Colorado,Morgan
3271,1262.9,Colorado,Otero
1404,542.1,Colorado,Ouray
5700.1,2200.8,Colorado,Park
1781,687.7,Colorado,Phillips
2512.8,970.2,Colorado,Pitkin
4248.9,1640.5,Colorado,Prowers
6187,2388.8,Colorado,Pueblo
8342.8,3221.2,Colorado,Rio Blanco
2363.6,912.6,Colorado,Rio Grande
6117,2361.8,Colorado,Routt
8206.8,3168.7,Colorado,Saguache
1003.5,387.5,Colorado,San Juan
3332.1,1286.5,Colorado,San Miguel
1420,548.3,Colorado,Sedgwick
1575.3,608.2,Colorado,Summit
1442.9,557.1,Colorado,Teller
6529.8,2521.2,Colorado,Washington
10341.3,3992.8,Colorado,Weld
6128.3,2366.1,Colorado,Yuma
1621,625.9,Connecticut,Fairfield
1904.9,735.5,Connecticut,Hartford
2382.8,920,Connecticut,Litchfield
956.4,369.3,Connecticut,Middlesex
1569,605.8,Connecticut,New Haven
1725.1,666.1,Connecticut,New London
1062.1,410.1,Connecticut,Tolland
1328.2,512.8,Connecticut,Windham
1529.8,590.7,Delaware,Kent
1104.1,426.3,Delaware,New Castle
2428.5,937.7,Delaware,Sussex
159.1,61.4,District of Columbia,District of Columbia
2264.4,874.3,Florida,Alachua
1515.8,585.2,Florida,Baker
1978.1,763.7,Florida,Bay
759.3,293.2,Florida,Bradford
2637.9,1018.5,Florida,Brevard
3131,1208.9,Florida,Broward
1469.5,567.4,Florida,Calhoun
1796.6,693.7,Florida,Charlotte
1511.5,583.6,Florida,Citrus
1557,601.1,Florida,Clay
5245.9,2025.5,Florida,Collier
2064.6,797.2,Florida,Columbia
5036.7,1944.7,Florida,Dade
1650.7,637.3,Florida,DeSoto
1823.5,704.1,Florida,Dixie
2004.3,773.9,Florida,Duval
1718.8,663.6,Florida,Escambia
1256.2,485,Florida,Flagler
1383,534,Florida,Franklin
1336.9,516.2,Florida,Gadsden
903.6,348.9,Florida,Gilchrist
2003.4,773.5,Florida,Glades
1463.5,565.1,Florida,Gulf
1333.5,514.9,Florida,Hamilton
1650.8,637.4,Florida,Hardee
2985.5,1152.7,Florida,Hendry
1238.8,478.3,Florida,Hernando
2663.8,1028.5,Florida,Highlands
2722.1,1051,Florida,Hillsborough
1249.8,482.5,Florida,Holmes
1303.4,503.2,Florida,Indian River
2371.9,915.8,Florida,Jackson
1548.3,597.8,Florida,Jefferson
1405.9,542.8,Florida,Lafayette
2468.5,953.1,Florida,Lake
2081.3,803.6,Florida,Lee
1727,666.8,Florida,Leon
2896.8,1118.4,Florida,Levy
2165.1,835.9,Florida,Liberty
1792.2,692,Florida,Madison
1919.7,741.2,Florida,Manatee
4089.6,1579,Florida,Marion
1439.2,555.7,Florida,Martin
2582.9,997.3,Florida,Monroe
1687.7,651.6,Florida,Nassau
2423.7,935.8,Florida,Okaloosa
2005.5,774.3,Florida,Okeechobee
2350.8,907.6,Florida,Orange
3424,1322,Florida,Osceola
5268.9,2034.3,Florida,Palm Beach
1929.5,745,Florida,Pasco
725.6,280.2,Florida,Pinellas
4856.1,1874.9,Florida,Polk
1870.4,722.2,Florida,Putnam
1577.4,609,Florida,St. Johns
1482.8,572.5,Florida,St. Lucie
2631,1015.8,Florida,Santa Rosa
1480.8,571.8,Florida,Sarasota
798.3,308.2,Florida,Seminole
1413.3,545.7,Florida,Sumter
1781.1,687.7,Florida,Suwannee
2698.6,1041.9,Florida,Taylor
622.4,240.3,Florida,Union
2864.2,1105.9,Florida,Volusia
1571.3,606.7,Florida,Wakulla
2739.4,1057.7,Florida,Walton
1501.9,579.9,Florida,Washington
1317.7,508.8,Georgia,Appling
875.7,338.1,Georgia,Atkinson
738.1,285,Georgia,Bacon
889,343.2,Georgia,Baker
669.5,258.5,Georgia,Baldwin
605.2,233.7,Georgia,Banks
420.2,162.2,Georgia,Barrow
1191.1,459.9,Georgia,Bartow
652.3,251.8,Georgia,Ben Hill
1171.9,452.5,Georgia,Berrien
647.5,250,Georgia,Bibb
563.1,217.4,Georgia,Bleckley
1151.1,444.4,Georgia,Brantley
1278.7,493.7,Georgia,Brooks
1144.1,441.8,Georgia,Bryan
1767.9,682.6,Georgia,Bulloch
2151.1,830.6,Georgia,Burke
483.3,186.6,Georgia,Butts
725.7,280.2,Georgia,Calhoun
1631.6,629.9,Georgia,Camden
639.7,247,Georgia,Candler
1293.1,499.3,Georgia,Carroll
420.2,162.2,Georgia,Catoosa
2022.3,780.8,Georgia,Charlton
1140.6,440.4,Georgia,Chatham
644.4,248.8,Georgia,Chattahoochee
812.6,313.8,Georgia,Chattooga
1097.5,423.7,Georgia,Cherokee
313,120.8,Georgia,Clarke
505.6,195.2,Georgia,Clay
369.5,142.6,Georgia,Clayton
2096.2,809.4,Georgia,Clinch
881.2,340.2,Georgia,Cobb
1551.7,599.1,Georgia,Coffee
1430.5,552.3,Georgia,Colquitt
751.2,290,Georgia,Columbia
593.4,229.1,Georgia,Cook
1147.5,443.1,Georgia,Coweta
842.1,325.1,Georgia,Crawford
709.2,273.8,Georgia,Crisp
450.5,173.9,Georgia,Dade
546.6,211,Georgia,Dawson
1545.8,596.8,Georgia,Decatur
694.9,268.3,Georgia,De Kalb
1296.7,500.6,Georgia,Dodge
1017.8,393,Georgia,Dooly
853.9,329.7,Georgia,Dougherty
516.2,199.3,Georgia,Douglas
1324.2,511.3,Georgia,Early
1046.8,404.2,Georgia,Echols
1241.9,479.5,Georgia,Effingham
955.2,368.8,Georgia,Elbert
1776.6,686,Georgia,Emanuel
479.2,185,Georgia,Evans
999.1,385.8,Georgia,Fannin
511.3,197.4,Georgia,Fayette
1329.4,513.3,Georgia,Floyd
584.8,225.8,Georgia,Forsyth
682,263.3,Georgia,Franklin
1369.3,528.7,Georgia,Fulton
1105.2,426.7,Georgia,Gilmer
